time;location;status
0;AZURE-CLOUD;1
3;AZURE-CLOUD;1
5;AZURE-CLOUD;1
8;AZURE-CLOUD;1
10;AZURE-CLOUD;1
13;AZURE-CLOUD;1
15;AZURE-CLOUD;1
18;AZURE-CLOUD;1
21;AZURE-CLOUD;1
23;AZURE-CLOUD;1
26;AZURE-CLOUD;1
28;AZURE-CLOUD;1
31;AZURE-CLOUD;1
33;AZURE-CLOUD;1
36;AZURE-CLOUD;1
38;AZURE-CLOUD;1
41;AZURE-CLOUD;1
43;AZURE-CLOUD;1
46;AZURE-CLOUD;1
48;AZURE-CLOUD;1
51;AZURE-CLOUD;1
54;AZURE-CLOUD;1
56;AZURE-CLOUD;1
59;AZURE-CLOUD;1
61;AZURE-CLOUD;1
64;AZURE-CLOUD;1
66;AZURE-CLOUD;1
69;AZURE-CLOUD;1
71;AZURE-CLOUD;1
74;AZURE-CLOUD;1
76;AZURE-CLOUD;1
79;AZURE-CLOUD;1
82;AZURE-CLOUD;1
84;AZURE-CLOUD;1
87;AZURE-CLOUD;1
89;AZURE-CLOUD;1
92;AZURE-CLOUD;1
94;AZURE-CLOUD;1
97;AZURE-CLOUD;1
99;AZURE-CLOUD;1
102;AZURE-CLOUD;1
104;AZURE-CLOUD;1
107;AZURE-CLOUD;1
109;AZURE-CLOUD;1
112;AZURE-CLOUD;1
114;AZURE-CLOUD;1
117;AZURE-CLOUD;1
120;AZURE-CLOUD;1
122;AZURE-CLOUD;1
125;AZURE-CLOUD;1
127;AZURE-CLOUD;1
130;AZURE-CLOUD;1
132;AZURE-CLOUD;1
134;AZURE-CLOUD;1
137;AZURE-CLOUD;1
140;AZURE-CLOUD;1
142;AZURE-CLOUD;1
145;AZURE-CLOUD;1
147;AZURE-CLOUD;1
150;AZURE-CLOUD;1
153;AZURE-CLOUD;1
155;AZURE-CLOUD;1
158;AZURE-CLOUD;1
160;AZURE-CLOUD;1
163;AZURE-CLOUD;1
166;AZURE-CLOUD;1
168;AZURE-CLOUD;1
171;AZURE-CLOUD;1
173;AZURE-CLOUD;1
176;AZURE-CLOUD;1
178;AZURE-CLOUD;1
181;AZURE-CLOUD;1
184;AZURE-CLOUD;1
186;AZURE-CLOUD;1
189;AZURE-CLOUD;1
191;AZURE-CLOUD;1
194;AZURE-CLOUD;1
196;AZURE-CLOUD;1
199;AZURE-CLOUD;1
201;AZURE-CLOUD;1
204;AZURE-CLOUD;1
206;AZURE-CLOUD;1
209;AZURE-CLOUD;1
211;AZURE-CLOUD;1
214;AZURE-CLOUD;1
217;AZURE-CLOUD;1
219;AZURE-CLOUD;1
222;AZURE-CLOUD;1
224;AZURE-CLOUD;1
227;AZURE-CLOUD;1
229;AZURE-CLOUD;1
232;AZURE-CLOUD;1
234;AZURE-CLOUD;1
237;AZURE-CLOUD;1
239;AZURE-CLOUD;1
242;AZURE-CLOUD;1
245;AZURE-CLOUD;1
247;AZURE-CLOUD;1
250;AZURE-CLOUD;1
252;AZURE-CLOUD;1
255;AZURE-CLOUD;1
257;AZURE-CLOUD;1
260;AZURE-CLOUD;1
262;AZURE-CLOUD;1
265;AZURE-CLOUD;1
267;AZURE-CLOUD;1
270;AZURE-CLOUD;1
272;AZURE-CLOUD;1
275;AZURE-CLOUD;1
277;AZURE-CLOUD;1
280;AZURE-CLOUD;1
282;AZURE-CLOUD;1
285;AZURE-CLOUD;1
287;AZURE-CLOUD;1
290;AZURE-CLOUD;1
292;AZURE-CLOUD;1
295;AZURE-CLOUD;1
297;AZURE-CLOUD;1
300;AZURE-CLOUD;1
302;AZURE-CLOUD;1
305;AZURE-CLOUD;1
308;none;0
310;none;0
312;none;0
315;none;0
317;none;0
320;none;0
322;none;0
325;none;0
327;none;0
330;none;0
333;none;0
335;none;0
338;none;0
340;none;0
342;none;0
345;none;0
348;none;0
350;none;0
353;none;0
355;none;0
357;none;0
360;none;0
363;none;0
365;none;0
368;none;0
370;none;0
372;none;0
375;none;0
377;none;0
380;none;0
382;none;0
385;none;0
387;none;0
390;none;0
393;none;0
396;none;0
398;none;0
400;none;0
403;none;0
406;none;0
408;none;0
411;none;0
413;none;0
416;none;0
418;none;0
421;none;0
423;none;0
425;none;0
428;none;0
431;none;0
434;none;0
436;none;0
439;none;0
441;none;0
444;none;0
446;none;0
449;none;0
451;none;0
454;none;0
457;none;0
459;none;0
462;none;0
464;none;0
467;none;0
469;none;0
472;none;0
474;none;0
477;none;0
479;none;0
482;none;0
485;none;0
487;none;0
490;none;0
492;none;0
495;none;0
497;none;0
500;none;0
502;none;0
505;none;0
507;AZURE-CLOUD;1
510;AZURE-CLOUD;1
513;AZURE-CLOUD;1
515;AZURE-CLOUD;1
518;AZURE-CLOUD;1
520;AZURE-CLOUD;1
523;AZURE-CLOUD;1
525;AZURE-CLOUD;1
528;AZURE-CLOUD;1
530;AZURE-CLOUD;1
533;AZURE-CLOUD;1
535;AZURE-CLOUD;1
538;AZURE-CLOUD;1
540;AZURE-CLOUD;1
543;AZURE-CLOUD;1
545;AZURE-CLOUD;1
548;AZURE-CLOUD;1
551;AZURE-CLOUD;1
553;AZURE-CLOUD;1
556;AZURE-CLOUD;1
558;AZURE-CLOUD;1
561;AZURE-CLOUD;1
563;AZURE-CLOUD;1
566;AZURE-CLOUD;1
568;AZURE-CLOUD;1
571;AZURE-CLOUD;1
573;AZURE-CLOUD;1
576;AZURE-CLOUD;1
578;AZURE-CLOUD;1
581;AZURE-CLOUD;1
583;AZURE-CLOUD;1
586;AZURE-CLOUD;1
588;AZURE-CLOUD;1
591;AZURE-CLOUD;1
594;AZURE-CLOUD;1
597;AZURE-CLOUD;1
599;AZURE-CLOUD;1
602;AZURE-CLOUD;1
604;AZURE-CLOUD;1
607;AZURE-CLOUD;1
610;AZURE-CLOUD;1
612;AZURE-CLOUD;1
615;AZURE-CLOUD;1
618;AZURE-CLOUD;1
620;AZURE-CLOUD;1
623;AZURE-CLOUD;1
625;AZURE-CLOUD;1
628;AZURE-CLOUD;1
630;AZURE-CLOUD;1
633;AZURE-CLOUD;1
635;AZURE-CLOUD;1
638;AZURE-CLOUD;1
640;AZURE-CLOUD;1
643;AZURE-CLOUD;1
646;AZURE-CLOUD;1
648;AZURE-CLOUD;1
651;AZURE-CLOUD;1
653;AZURE-CLOUD;1
656;AZURE-CLOUD;1
659;AZURE-CLOUD;1
661;AZURE-CLOUD;1
664;AZURE-CLOUD;1
666;AZURE-CLOUD;1
669;AZURE-CLOUD;1
671;AZURE-CLOUD;1
674;AZURE-CLOUD;1
676;AZURE-CLOUD;1
679;AZURE-CLOUD;1
681;AZURE-CLOUD;1
684;AZURE-CLOUD;1
686;AZURE-CLOUD;1
689;AZURE-CLOUD;1
691;AZURE-CLOUD;1
694;AZURE-CLOUD;1
696;AZURE-CLOUD;1
699;AZURE-CLOUD;1
701;AZURE-CLOUD;1
704;AZURE-CLOUD;1
706;AZURE-CLOUD;1
709;AZURE-CLOUD;1
711;AZURE-CLOUD;1
714;AZURE-CLOUD;1
716;AZURE-CLOUD;1
719;AZURE-CLOUD;1
721;AZURE-CLOUD;1
724;AZURE-CLOUD;1
726;AZURE-CLOUD;1
729;AZURE-CLOUD;1
731;AZURE-CLOUD;1
734;AZURE-CLOUD;1
736;AZURE-CLOUD;1
739;AZURE-CLOUD;1
741;AZURE-CLOUD;1
744;AZURE-CLOUD;1
746;AZURE-CLOUD;1
749;AZURE-CLOUD;1
752;AZURE-CLOUD;1
754;AZURE-CLOUD;1
757;AZURE-CLOUD;1
759;AZURE-CLOUD;1
